gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,pct_FC
Cr2,0.0,1.57514157853144,0.82,0.32299999999999995,0.0,2.5386996427647204
Egr3,1.3809313659478895e-199,0.9133553410323728,0.281,0.061,3.667201335411218e-195,4.60655678581036
Dtx1,7.920929667799986e-305,0.875559555954023,0.59,0.195,2.1034820825809688e-300,3.0256409217619997
Ms4a1,0.0,0.869470740850302,0.986,0.495,0.0,1.99191917188042
Cd83,5.247051249660187e-225,0.84232424935914,0.5579999999999999,0.213,1.3934069298597594e-220,2.61971823381605
Myc,1.575298795129359e-264,0.834115046818897,0.486,0.15,4.183363480345518e-260,3.2399998506666803
Blk,0.0,0.794154718513283,0.8009999999999999,0.355,0.0,2.2563379927792098
Cd180,1.4582887836768892e-290,0.7685205718902908,0.841,0.41,3.872631693932338e-286,2.05121948655562
Mdn1,9.157649264956905e-216,0.7535762344929829,0.624,0.287,2.431905338801959e-211,2.17421598696112
Dph5,6.380247760450366e-209,0.717200894657583,0.418,0.134,1.694338595265199e-204,3.11940282691024
Swap70,4.127085599654858e-248,0.706313892052576,0.85,0.475,1.0959888518443495e-243,1.7894736675900302
Cd22,1.571596232338939e-294,0.697529505266964,0.955,0.502,4.1735309545992777e-290,1.9023904202711102
Ly6d,1.3831776333142192e-277,0.6879640735936241,0.915,0.488,3.673166523029228e-273,1.87499998206967
Cd19,1.1946862696806593e-289,0.686461478746084,0.955,0.57,3.1726088577639484e-285,1.6754385846414301
Ncl,3.2486203665270884e-191,0.682493502596653,0.953,0.7759999999999999,8.627036245349347e-187,1.22809278056581
Fcmr,3.0454975975467584e-223,0.6811160074305229,0.845,0.446,8.087623420045176e-219,1.8946188140220002
Gnl3,4.662833497613867e-202,0.6749399961910238,0.569,0.242,1.2382620636263393e-197,2.35123961358514
Nfkbid,6.18501679607396e-54,0.650005644197897,0.318,0.172,1.6424930603653999e-49,1.84883715995133
Il9r,1.1739920549577795e-222,0.642963723884186,0.34600000000000003,0.083,3.117653301145878e-218,4.16867431702719
Ddx21,3.1846442057391893e-173,0.632195327157943,0.732,0.43700000000000006,8.457141152760997e-169,1.6750571927904498
Wdr43,1.3640283663461095e-182,0.6286952396575091,0.622,0.304,3.622313729668728e-178,2.04605259716932
Cxcr5,1.4711576589118991e-257,0.617502056470454,0.648,0.23399999999999999,3.906806279006428e-253,2.76923069362262
Nop56,6.689300366121287e-178,0.6124702410971079,0.715,0.39,1.7764106052271693e-173,1.83333331196581
Bank1,2.5168040694011687e-251,0.610983809825179,0.9159999999999999,0.479,6.683624886701757e-247,1.91231730871989
H2-DMb2,2.836740019212748e-246,0.603417782383584,0.95,0.505,7.533246795021376e-242,1.8811881013626102
Mybbp1a,2.074233795544029e-210,0.6012415758134599,0.5760000000000001,0.23800000000000002,5.508335267446728e-206,2.4201680075559704
Dkc1,4.781754005197578e-151,0.597264495826904,0.541,0.257,1.2698425936202696e-146,2.10505832276038
H2-Ab1,4.8702534678034084e-232,0.5918796560360949,0.996,0.8170000000000001,1.2933445109098694e-227,1.21909424456433
